Name;ID;Link;Category Name;Category ID;Cost;Difficulty;Preparation Time;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Ingredient;Ingredient ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W;Preparation;ID;W
Risotto con zucchine;69;https://ricette.giallozafferano.it/Risotto-con-zucchine;First Course;3;2;1;35;Rice;201;4;Zucchini;276;3;Vegetable Broth;266;2;Onion;165;1;Wine;272;1;Butter;40;1;Parmesan;172;1;Black Pepper;24;1;Oil;163;1;Mint;147;1;;;;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;3;Browning;2;2;Mixing;5;4;;;;;;
Genovese;70;https://ricette.giallozafferano.it/Genovese;First Course;3;2;2;280;Ziti;275;5;Beef;21;4;Onion;165;4;Celery;54;1;Carrots;49;1;Parsley;173;1;Laurel;128;1;Wine;272;1;Oil;163;1;Black Pepper;24;1;Parmesan;172;1;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;5;Boiling;1;4;;;;;;;;;
Pesce spada alla siciliana;71;https://ricette.giallozafferano.it/Pesce-spada-alla-siciliana;Second Course;4;2;1;25;Swordfish;247;4;Tomato;253;2;Olives;164;2;Oil;163;1;Garlic;107;1;Peanuts;175;1;Oregano;168;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;3;Browning;2;3;;;;;;;;;
Cozze gratinate;72;https://ricette.giallozafferano.it/Cozze-gratinate;Starter;1;3;2;45;Mussels;156;5;Bread;32;2;Parmesan;172;2;Garlic;107;1;Lemon;130;1;Parsley;173;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;4;;;;;;;;;;;;
Scaloppine ai funghi;73;https://ricette.giallozafferano.it/Scaloppine-ai-funghi;Second Course;4;3;2;30;Beef;21;4;Mushroom;154;3;Butter;40;2;Black Pepper;24;1;Flour;100;2;Garlic;107;1;Oil;163;2;Thyme;252;1;Rosemary;207;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;4;Browning;2;3;;;;;;;;;
Polpette di verdure;74;https://ricette.giallozafferano.it/Polpette-di-verdura;Second Course;4;1;1;90;Potato;188;4;Carrots;49;2;Peas;177;2;Zucchini;276;2;Onion;165;2;Parmesan;172;2;Eggs;90;2;Garlic;107;1;Parsley;173;1;Oil;163;1;Nutmeg;160;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;Browning;2;3;Deep Frying;3;4;;;;;;;;;
Spezzatino di manzo;75;https://ricette.giallozafferano.it/Spezzatino-di-manzo;Second Course;4;3;1;160;Beef;21;4;Beef Broth;22;3;Onion;165;2;Carrots;49;2;Celery;54;2;Wine;272;2;Oil;163;1;Butter;40;1;Flour;100;1;Rosemary;207;1;Thyme;252;1;Sage;210;1;Black Pepper;24;1;;;;;;;;;;;;;;;;Slow cooking;7;4;;;;;;;;;;;;
Torta rustica salata;76;https://ricette.giallozafferano.it/Torta-rustica-salata;Savoury Cake;5;2;2;80;Puff Pastry;192;3;Butter;40;2;Prosciutto;191;2;Potato;188;2;Fontina Cheese;102;2;Thyme;252;1;Paprika;171;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;4;;;;;;;;;;;;
Passatelli in brodo;77;https://ricette.giallozafferano.it/Passatelli-in-brodo;First Course;3;2;1;15;Eggs;90;4;Bread;32;2;Parmesan;172;2;Lemon;130;1;Nutmeg;160;1;Beef Broth;22;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;;;;;;;;;;;;
Arrosto di vitello al forno con patate;78;https://ricette.giallozafferano.it/Arrosto-di-vitello-al-forno-con-patate;Second Course;4;4;3;90;Veal;265;5;Potato;188;3;Wine;272;1;Rosemary;207;1;Garlic;107;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;4;;;;;;;;;;;;
Pasta con la zucca;79;https://ricette.giallozafferano.it/Pasta-con-la-zucca;First Course;3;1;1;60;Farfalle;92;5;Pumpkin;193;4;Pancetta;170;3;Rosemary;207;1;Vegetable Broth;266;2;Oil;163;1;Ricotta Cheese;202;2;Onion;165;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;;;;;;;;;
Frittata di spaghetti;80;https://ricette.giallozafferano.it/Frittata-di-spaghetti;Complete Meal;2;2;2;30;Spaghetti;234;3;Eggs;90;3;Milk;146;1;Parmesan;172;2;Scamorza Cheese;220;2;Pancetta;170;2;Thyme;252;1;Black Pepper;24;1;Oil;163;1;Garlic;107;1;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;3;Browning;2;1;Slow cooking;7;4;;;;;;
Canederli alla tirolese (Knödel);81;https://ricette.giallozafferano.it/Canederli-alla-tirolese-Knodel;First Course;3;2;2;55;Bread;32;3;Prosciutto;191;2;Onion;165;2;Eggs;90;2;Milk;146;1;Butter;40;1;Black Pepper;24;1;Parsley;173;1;Chives;62;1;Beef Broth;22;3;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;3;Boiling;1;3;;;;;;;;;
Spaghetti alla puttanesca;82;https://ricette.giallozafferano.it/Spaghetti-alla-puttanesca;First Course;3;2;2;40;Spaghetti;234;5;Tomato;253;3;Alice fish;2;2;Capers;47;2;Parsley;173;1;Olives;164;2;Garlic;107;1;Chilli Peppers;61;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;3;Boiling;1;4;;;;;;;;;
Pasta al forno con broccoli e pancetta;83;https://ricette.giallozafferano.it/Pasta-al-forno-con-broccoli-e-pancetta;First Course;3;2;2;53;Fusilli;105;5;Broccoli;35;4;Parmesan;172;2;Pancetta;170;3;Valtellina Cheese;264;3;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;2;Slow cooking;7;2;Oven;6;4;;;;;;
Polpette di zucchine;84;https://ricette.giallozafferano.it/Polpette-di-zucchine;Starter;1;1;1;35;Zucchini;276;4;Parmesan;172;2;Ricotta Cheese;202;2;Bread;32;1;Eggs;90;2;Thyme;252;1;Oil;163;1;Semolina;227;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;4;;;;;;;;;;;;
Carne alla pizzaiola;85;https://ricette.giallozafferano.it/Carne-alla-pizzaiola;Second Course;4;3;1;20;Beef;21;4;Tomato;253;3;Oil;163;1;Oregano;168;1;Garlic;107;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;2;Slow cooking;7;4;;;;;;;;;
Cosce di pollo al forno;86;https://ricette.giallozafferano.it/Cosce-di-pollo-al-forno;Second Course;4;2;2;100;Chicken Meat;58;5;Potato;188;2;Oil;163;1;Rosemary;207;1;Thyme;252;1;Paprika;171;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;4;;;;;;;;;;;;
Vellutata di zucca;87;https://ricette.giallozafferano.it/Vellutata-di-zucca;First Course;3;1;2;45;Vegetable Broth;266;2;Nutmeg;160;1;Leek;129;1;Pumpkin;193;4;Cream;80;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;1;Slow cooking;7;4;;;;;;;;;
Capesante gratinate;88;https://ricette.giallozafferano.it/Capesante-gratinate;Starter;1;3;1;30;Scallop;219;5;Bread;32;1;Oil;163;1;Lemon;130;1;Parsley;173;1;Thyme;252;1;Black Pepper;24;1;Marjoram;141;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;4;;;;;;;;;;;;
Pasta alla cenere;89;https://ricette.giallozafferano.it/Pasta-alla-cenere;First Course;3;1;1;25;Rigatoni;203;5;Blue Cheese;26;3;Olives;164;1;Cream;80;2;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;2;;;;;;;;;
Polpette di carne;90;https://ricette.giallozafferano.it/Polpette-di-carne;Second Course;4;2;2;40;Beef;21;4;Bread;32;1;Parmesan;172;2;Eggs;90;2;Black Pepper;24;1;Parmesan;172;2;Parsley;173;1;Thyme;252;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Deep Frying;3;4;;;;;;;;;;;;
Pasta alla marinara;91;https://ricette.giallozafferano.it/Pasta-alla-marinara;First Course;3;5;3;40;Tomato;253;3;Paccheri;169;5;Scampi;221;2;Prawn;190;2;Scallop;219;2;Oil;163;1;Garlic;107;1;Basil;17;1;Parsley;173;1;Chilli Peppers;61;1;Mussels;156;2;Clams;65;2;;;;;;;;;;;;;;;;;;;Browning;2;1;Boiling;1;4;Slow cooking;7;3;;;;;;
Pasta agli asparagi;92;https://ricette.giallozafferano.it/Pasta-agli-asparagi;First Course;3;2;2;40;Penne;179;5;Asparagus;11;4;Black Pepper;24;1;Parmesan;172;2;Shallot;229;1;Thyme;252;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;2;;;;;;;;;
Spaghetti aglio olio e peperoncino;93;https://ricette.giallozafferano.it/Spaghetti-aglio-olio-e-peperoncino;First Course;3;1;1;15;Spaghetti;234;5;Garlic;107;2;Chilli Peppers;61;2;Oil;163;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Browning;2;3;;;;;;;;;
Pomodori ripieni;94;https://ricette.giallozafferano.it/Pomodori-ripieni;First Course;3;2;2;100;Tomato;253;5;Rice;201;2;Scamorza Cheese;220;2;Pecorino Cheese;178;2;Parmesan;172;2;Garlic;107;2;Basil;17;1;Black Pepper;24;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;3;Browning;2;3;Slow cooking;7;3;;;;;;
Ali di pollo e patate saporite;95;https://ricette.giallozafferano.it/Ali-di-pollo-e-patate-saporite;Second Course;4;2;1;70;Chicken Meat;58;5;Potato;188;2;Bread;32;1;Flour;100;1;Parmesan;172;1;Eggs;90;2;Parsley;173;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Oven;6;4;;;;;;;;;;;;
Pasta con asparagi e pancetta;96;https://ricette.giallozafferano.it/Pasta-con-asparagi-e-pancetta;First Course;3;2;2;45;Penne;179;5;Asparagus;11;4;Pancetta;170;3;Shallot;229;1;Black Pepper;24;1;Oil;163;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;3;Boiling;1;4;Mixing;5;1;;;;;;
Orecchiette con le cime di rapa;97;https://ricette.giallozafferano.it/Orecchiette-con-le-cime-di-rapa;First Course;3;2;2;45;Turnip Greens;263;4;Bread;32;2;Garlic;107;1;Alice fish;2;2;Oil;163;1;Semolina;227;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;3;Slow cooking;7;2;Boiling;1;4;;;;;;
Carbonara di mare;98;https://ricette.giallozafferano.it/Carbonara-di-mare;First Course;3;3;2;45;Spaghetti;234;5;Tuna;260;2;Swordfish;247;2;Salmon;214;2;Eggs;90;1;Wine;272;1;Parmesan;172;1;Garlic;107;1;Thyme;252;1;Oil;163;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;Browning;2;3;Boiling;1;4;;;;;;;;;
Tagliatelle ai funghi porcini;99;https://ricette.giallozafferano.it/Tagliatelle-ai-funghi-porcini;First Course;3;3;3;65;Flour;100;4;Eggs;90;4;Semolina;227;4;Mushroom;154;2;Butter;40;2;Oil;163;1;Garlic;107;1;Parsley;173;1;Black Pepper;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;Boiling;1;4;Slow cooking;7;3;;;;;;;;;
Risotto ai funghi porcini;100;https://ricette.giallozafferano.it/Risotto-ai-funghi-porcini;First Course;3;4;2;45;Rice;201;5;Mushroom;154;3;Vegetable Broth;266;2;Onion;165;1;Garlic;107;1;Butter;40;1;Oil;163;1;Black Pepper;24;1;Parmesan;172;2;Parsley;173;1;;;;;;;;;;;;;;;;;;;;;;;;;Browning;2;1;Slow cooking;7;2;Boiling;1;4;Mixing;5;3;;;
Spezzatino con piselli;101;https://ricette.giallozafferano.it/Spezzatino-con-piselli;Second Course;4;3;2;115;Beef;21;4;Peas;177;2;Celery;54;1;Carrots;49;1;Onion;165;1;Flour;100;1;Wine;272;1;Vegetable Broth;266;2;Black Pepper;24;1;Oil;163;1;Tomato;253;1;;;;;;;;;;;;;;;;;;;;;;Slow cooking;7;4;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
